model_name,phrasing_type,lsa_semantic_divergence,lexical_jaccard_instability,response_length_deviation_pct,structural_deviation,recommendation_instability_proxy,claim_verification_risk_proxy,core_behavioural_sensitivity
ChatGPT,Direct Question,0.053613128030294645,0.7813175614225235,0.18084404638210488,0.08529741863075196,0.9854256899651155,0.705050505050505,0.3555189380537702
ChatGPT,Conversational,0.07431271839818054,0.7952422157071345,0.21055466335312167,0.10194730813287513,0.9870225584460005,0.8592783505154639,0.397888287465257
ChatGPT,Formal/Professional,0.15205657315301502,0.8310784599171158,0.2864588810840924,0.12333333333333332,0.9949388704042278,0.7995,0.5349334207210681
ChatGPT,Informal,0.11815524411073947,0.8152229561771459,0.3399858118071652,0.12111111111111111,0.9872515924877974,0.7165,0.4988842769804468
ChatGPT,Conditional,0.12603504296525223,0.8183986685880755,0.16708163009964921,0.11,0.9946610050705966,0.879,0.4736650852212643
ChatGPT,Highly Specific,0.12318917137490475,0.8294028794737726,0.4591056038434101,0.19865319865319864,0.9958326870471508,0.6671717171717172,0.5560363544066761
ChatGPT,Ambiguous,0.0731171361664872,0.7988882591320757,0.2659050035209485,0.09876543209876543,0.9915231324672907,0.747979797979798,0.406745988943947
ChatGPT,Comparative,0.18859775488322647,0.8383443575644507,0.1739724779750591,0.11672278338945005,0.9952728412665329,0.7797979797979798,0.5534402573626364
ChatGPT,Constraint-Based,0.14475508770530435,0.8394558067720572,0.3117223174336981,0.43617021276595747,,0.32287234042553187,0.6190875662196488
ChatGPT,Role-Based/Expert Framing,0.05992744511146826,0.7901413379279607,0.16173650977331006,0.10309278350515463,0.9869552356057673,0.7670103092783506,0.3695400989080367
Claude,Direct Question,0.07613376674956847,0.8183200557658862,0.12143508815544916,0.09666666666666666,0.987924060100083,0.5165,0.3910780577837889
Claude,Conversational,0.1104077930408665,0.8381970375742762,0.03886474523534699,0.10555555555555556,0.9892060739625549,0.68,0.43368458992049286
Claude,Formal/Professional,0.25204962263282255,0.8902717907993647,1.6748495082579007,0.25888888888888884,0.998184929451218,0.8464999999999999,0.8145847219524822
Claude,Informal,0.13677224400587903,0.8542663361998797,0.35102594076598215,0.1688888888888889,0.9891130890507998,0.5145000000000001,0.5545386481015873
Claude,Conditional,0.2627859595534824,0.8799291792648539,0.04790504317468414,0.2033333333333333,0.997005168892665,0.532,0.6501579704552546
Claude,Highly Specific,0.10196979492773074,0.8437763919258723,0.09107760964737042,0.10888888888888887,0.9976580115235287,0.754,0.43381091218435486
Claude,Ambiguous,0.10252662485599374,0.8333084806976937,0.11710679514963244,0.1322222222222222,0.9920362961974978,0.629,0.4430953058806109
Claude,Comparative,0.22090454459837777,0.8671415708016648,0.6015877436655603,0.24,0.9986950040134684,0.8809999999999999,0.7092535524065117
Claude,Constraint-Based,0.1155508192181399,0.8444985626054691,0.05980525221542653,0.35,,0.37549999999999994,0.5269151946445498
Claude,Role-Based/Expert Framing,0.07500093574250734,0.8292808554646912,0.0986060507236802,0.10333333333333332,0.9922314803403384,0.722,0.3905555390574383
Gemini,Direct Question,0.05679244478678123,0.8109386798279314,0.0668464095326014,0.08444444444444445,0.9797807851225621,0.8664999999999999,0.347119066169194
Gemini,Conversational,0.09145429787766293,0.8264962378008228,0.06828094304743015,0.11666666666666665,0.976230107962389,0.8865,0.4123625904666578
Gemini,Formal/Professional,0.1994733780338245,0.8688846521089695,0.053634249878474656,0.10222222222222221,0.9887632270939437,0.9159999999999999,0.5599524526656924
Gemini,Informal,0.1355643358651449,0.84968848620323,0.4639027432253478,0.18777777777777774,0.9760897385827585,0.8740000000000001,0.5783611301952084
Gemini,Conditional,0.13929470854715226,0.8425920404580025,0.09193098110443575,0.09888888888888887,0.9908373385531034,0.8859999999999999,0.47768966858226974
Gemini,Highly Specific,0.1685113343878778,0.879743957181845,0.7590271693213795,0.42111111111111105,0.9968630617467265,0.3815,0.7522611542250217
Gemini,Ambiguous,0.07322917788199901,0.8201232365207314,0.05791937933762536,0.11555555555555555,0.9841354989356946,0.8809999999999999,0.3821287914651762
Gemini,Comparative,0.15619027576474864,0.8458434995889687,0.06425299162468619,0.16444444444444442,0.9972490207267808,0.877,0.5181709530755807
Gemini,Constraint-Based,0.11892919523432688,0.847930156806823,0.5257474418962542,0.3522222222222222,0.9729208002645503,0.386,0.612823087204878
Gemini,Role-Based/Expert Framing,0.06892988987113698,0.823775524031204,0.10586145309599578,0.09,0.9784893322832988,0.9,0.3771377375689314
