model_name,phrasing_type,core_behavioural_sensitivity_count,core_behavioural_sensitivity_mean,core_behavioural_sensitivity_median,core_behavioural_sensitivity_std,lsa_semantic_divergence_count,lsa_semantic_divergence_mean,lsa_semantic_divergence_median,lsa_semantic_divergence_std,lexical_jaccard_instability_count,lexical_jaccard_instability_mean,lexical_jaccard_instability_median,lexical_jaccard_instability_std
ChatGPT,Direct Question,99,0.3555189380537702,0.34649026110368303,0.07555730928949572,99,0.053613128030294645,0.048907783219324874,0.031158383488559392,99,0.7813175614225235,0.7812367494427052,0.03308702032362896
ChatGPT,Conversational,97,0.397888287465257,0.3864439571051349,0.10602756317030267,97,0.07431271839818054,0.06286897156851068,0.05367546146045205,97,0.7952422157071345,0.790931727437502,0.03908992844051855
ChatGPT,Formal/Professional,100,0.5349334207210681,0.5051808104062663,0.143346613207803,100,0.15205657315301502,0.13483625470498406,0.09141570299938272,100,0.8310784599171158,0.8333761666808899,0.037247886698248835
ChatGPT,Informal,100,0.4988842769804468,0.48025234884721923,0.11381659682336522,100,0.11815524411073947,0.10003543729961684,0.05990835618614614,100,0.8152229561771459,0.8159258691151132,0.03433430153640983
ChatGPT,Conditional,100,0.4736650852212643,0.44191345189551984,0.14588707796340028,100,0.12603504296525223,0.10131298129551064,0.08639845560803967,100,0.8183986685880755,0.816454738917278,0.04510103762749342
ChatGPT,Highly Specific,99,0.5560363544066761,0.5344118760402152,0.11451171013434021,99,0.12318917137490475,0.10664205583371733,0.06520288844591192,99,0.8294028794737726,0.8335737814653535,0.03658497828138905
ChatGPT,Ambiguous,99,0.406745988943947,0.3901879111140396,0.11381215968293411,99,0.0731171361664872,0.056921929233101576,0.06393915222206792,99,0.7988882591320757,0.7996137745827195,0.04201130165786576
ChatGPT,Comparative,99,0.5534402573626364,0.544534078573709,0.1725209331714308,99,0.18859775488322647,0.16903780520836098,0.12528236448972707,99,0.8383443575644507,0.8453463446572538,0.05259608893984661
ChatGPT,Constraint-Based,94,0.6190875662196488,0.5825545334340312,0.1549813800402953,94,0.14475508770530435,0.12239235644552748,0.09621873632533369,94,0.8394558067720572,0.8339211968498994,0.04191579979356139
ChatGPT,Role-Based/Expert Framing,97,0.3695400989080367,0.3625988523700353,0.07696957315016664,97,0.05992744511146826,0.0556822048486707,0.03316327376979201,97,0.7901413379279607,0.7916378864378086,0.03660589234986644
Claude,Direct Question,100,0.3910780577837889,0.38572467054774295,0.06275976741643643,100,0.07613376674956847,0.07238227523170704,0.031992017550532874,100,0.8183200557658862,0.8231362818290497,0.03152712009742306
Claude,Conversational,100,0.43368458992049286,0.42586695367494665,0.07527224543956705,100,0.1104077930408665,0.10238003640748927,0.04326787447268302,100,0.8381970375742762,0.8412503003939449,0.03176252292479434
Claude,Formal/Professional,100,0.8145847219524822,0.8297096892956696,0.12185799614009943,100,0.25204962263282255,0.2516314630853523,0.10459360953683494,100,0.8902717907993647,0.8920841184065722,0.024279357865156576
Claude,Informal,100,0.5545386481015873,0.5356761946914894,0.10039219814438477,100,0.13677224400587903,0.1283413998129559,0.057211691688306685,100,0.8542663361998797,0.8589460362249419,0.03151422032007024
Claude,Conditional,100,0.6501579704552546,0.6986594538607602,0.13575056757934298,100,0.2627859595534824,0.24718479671885302,0.13016277669538023,100,0.8799291792648539,0.8814329284677656,0.034360680278111705
Claude,Highly Specific,100,0.43381091218435486,0.42405704576019015,0.06691547247757627,100,0.10196979492773074,0.09645023533615549,0.04061846042366162,100,0.8437763919258723,0.8450450189075132,0.02713789881105055
Claude,Ambiguous,100,0.4430953058806109,0.4195415645636812,0.10783703587837616,100,0.10252662485599374,0.08876281238395439,0.06518811808773288,100,0.8333084806976937,0.8412961359300536,0.03588150135062043
Claude,Comparative,100,0.7092535524065117,0.7190164160661213,0.15452823514274103,100,0.22090454459837777,0.19920703266416673,0.11734717786315824,100,0.8671415708016648,0.8712697879712081,0.03425091181754623
Claude,Constraint-Based,100,0.5269151946445498,0.5236458242586227,0.08203847368824058,100,0.1155508192181399,0.10591614893242196,0.04825635764587718,100,0.8444985626054691,0.8478384233059368,0.027716470957710078
Claude,Role-Based/Expert Framing,100,0.3905555390574383,0.381793298331731,0.06454433023816068,100,0.07500093574250734,0.06551008251616453,0.03300228620850984,100,0.8292808554646912,0.8370427146135244,0.0299073380108813
Gemini,Direct Question,100,0.347119066169194,0.338231304379493,0.05745659415489631,100,0.05679244478678123,0.05487137460948266,0.029011567797158185,100,0.8109386798279314,0.8144288602301162,0.0324138770227636
Gemini,Conversational,100,0.4123625904666578,0.4070350096873715,0.06425372042421627,100,0.09145429787766293,0.09058448615391551,0.03431459136746586,100,0.8264962378008228,0.8272352177805995,0.02927292662417716
Gemini,Formal/Professional,100,0.5599524526656924,0.5689372874434395,0.12567131539426007,100,0.1994733780338245,0.19188696621228507,0.09683822436195084,100,0.8688846521089695,0.8759511938597861,0.032846711051000566
Gemini,Informal,100,0.5783611301952084,0.571733455960129,0.11702387425051025,100,0.1355643358651449,0.12870695964757944,0.05843677601042391,100,0.84968848620323,0.852200023967205,0.03122791855104211
Gemini,Conditional,100,0.47768966858226974,0.45448049508361293,0.13953236834218924,100,0.13929470854715226,0.11633882531697443,0.09179581414488307,100,0.8425920404580025,0.8464970870786414,0.038592262159518664
Gemini,Highly Specific,100,0.7522611542250217,0.7413934025323492,0.09873894434590325,100,0.1685113343878778,0.15493339739909867,0.06843277393865478,100,0.879743957181845,0.882998448879664,0.023458113408633775
Gemini,Ambiguous,100,0.3821287914651762,0.36534476255709286,0.08436248814476173,100,0.07322917788199901,0.062364776698176305,0.04698055895207545,100,0.8201232365207314,0.8222930955058951,0.03650708453621301
Gemini,Comparative,100,0.5181709530755807,0.5238555891662826,0.13406981583684338,100,0.15619027576474864,0.14376625463382864,0.097642471341129,100,0.8458434995889687,0.8529983434648188,0.03906048471956006
Gemini,Constraint-Based,100,0.612823087204878,0.6133364026007068,0.10140564428719616,100,0.11892919523432688,0.11087071201541465,0.04983860776806756,100,0.847930156806823,0.8513940921859747,0.027622438973905976
Gemini,Role-Based/Expert Framing,100,0.3771377375689314,0.36370477906931353,0.0645741522538968,100,0.06892988987113698,0.06388412793736536,0.03511731903840788,100,0.823775524031204,0.8256128387256307,0.028841212310121316
